,sentence,background_motivation,aim_contribution,research_object,research_method,results_findings,summary
56,This enabled us to determine the proportion of results that are consistent between both metrics and the proportion that change.,0,0,0,1,0,0
57,Results: Our systematic review identifies 8 studies comprising 4017 pairwise results.,0,0,0,0,1,0
58,"Of these results, the direction of the comparison changes in 23% of the cases when the unbiased MCC metric is employed.",0,0,0,0,1,0
59,"Conclusion: We find compelling reasons why the choice of classification performance metric matters, specifically the biased and misleading F1 metric should be deprecated.",0,0,0,0,0,1
60,"Context: Design pattern detection is a very important research on software reuse, which can greatly help software maintenance and reconstruction.",1,0,0,0,0,0
61,"At present, many researchers have invested in this work and proposed a variety of methods for detection.",1,0,0,0,0,0
62,Method: This paper extends the graph matching technology based on the past and proposes a new method that combines network analysis and structural matching for detection.,0,0,0,1,0,0
63,"First, we use network level analysis to obtain important nodes, then use the neighborhood path matching algorithm to match the pattern instance.",0,0,0,1,0,0
64,"Result: We describe the detection of five patterns on four open source systems, then analyze and compare with the other three methods, for achieving high precision and recall, which demonstrates that our method is effective.",0,0,0,0,1,0
65,"Conclusion: Using combining network analysis with structural matching can well detect these pattern instances, and these instances are also especially important for future software refactoring.",0,0,0,0,0,1
66,Spectrum-Based Fault Localization (SBFL) follows the basic intuitions that the faulty parts are more likely to be covered by failure-revealing test cases and less likely to be covered by passed test cases.,1,0,0,0,0,0
67,"However, due to the diversity of programs and faults, many other characteristics (related to program structure, test suites, and type of faulty components) will influence the practical application of SBFL.",1,0,0,0,0,0
68,"For example, a statement can be covered by numerous failure-revealing test cases, and also covered by numerous passed test cases.",1,0,0,0,0,0
69,"To get more indicators about the faulty components towards a better application of SBFL, we extend the scope of spectrum-based knowledge from the basic intuitions to the Characteristics of Spectra Distribution (CSDs for short).",0,1,0,0,0,0
70,"That is, we explore the relationships between different types of statements and their spectra.",0,1,0,0,0,0
71,"Firstly, we introduce the concepts of Failure-Independent, Failure-Related, and Failure-Exclusionary to describe the relationships between different types of statements and their executions.",0,0,0,0,1,0
72,"Then, we propose two probabilistic models, with and without the noise of fault interference, respectively, to identify various CSDs for each type of statements.",0,0,0,0,1,0
73,"As the analysis results, we introduce a visualization technique to generalize the identified CSDs and provide an overall picture of spectra distribution and its dynamics.",0,0,0,0,1,0
74,"Finally, based on our analysis and also the observation of the program spectra of current benchmarks, we design a technique to filter the potential non-faulty statements to improve the accuracy of SBFL.",0,0,0,0,1,0
75,"Context: With the growing popularity of rapid software delivery and deployment, the methods, practices and technologies of Continuous Software Engineering (CSE) are evolving steadily.",1,0,0,0,0,0
76,"This creates the need for understanding the recent trends of the technologies, practitioners' challenges and views in this domain.",1,0,0,0,0,0
77,"Objective: In this paper, we present an empirical study aimed at exploring CSE from the practitioners' perspective by mining discussions from Q&A websites.",0,1,0,0,0,0
78,"Method: We have analyzed 12,989 questions and answers posted on Stack Overflow.",0,0,0,1,0,0
79,Topic modelling is conducted to derive the dominant topics in this domain.,0,0,0,1,0,0
80,"Further, a qualitative analysis was conducted to identify the key challenges discussed.",0,0,0,1,0,0
81,"Findings: Whilst the trend of posted questions is sharply increasing, the questions are becoming more specific to technologies and more difficult to attract answers.",0,0,0,0,0,1
82,"We identified 32 topics of discussions, among which ""Error messages in Continuous Integration/Deployment"" and ""Continuous Integration concepts"" are the most dominant.",0,0,0,0,1,0
83,We also present the most challenging areas in this domain from the practitioners' perspectives.,0,0,0,0,1,0
84,Decisions run through the whole software development and maintenance processes.,1,0,0,0,0,0
85,"Explicitly documenting these decisions helps to organize development knowledge and to reduce its vaporization, thereby controlling the development process and maintenance costs.",1,0,0,0,0,0
86,It can also support the knowledge acquisition process for stakeholders of the project.,1,0,0,0,0,0
87,"Meanwhile, developers (e.g., architects) and managers will be able to rely on the decisions made in the past to solve the problems encountered in their current projects.",1,0,0,0,0,0
88,"However, identifying decisions from massive textual artifacts, which involves considerable human effort, time, and cost, is usually unaffordable due to limited resources.",1,0,0,0,0,0
89,"To address this problem, we conducted an experiment to automatically identify decisions from textual artifacts using machine learning techniques.",0,1,0,0,0,0
90,"We created a dataset of 1,300 sentences labelled from the Hibernate developer mailing list, containing 650 decision sentences and non-decision sentences respectively, and trained machine learning models using 160 configurations regarding text preprocessing, feature extraction, and classification algorithms.",0,0,0,1,0,0
91,"The results show that (1) the text preprocessing method with Including Stop Words, No Stemming and Lemmatization, and No Filtering Out Sentences performs best when preprocessing posts to identify decisions; (2) the simple Bag-of-Words (BoW) model works best when extracting features to identify decisions; (3) the Support Vector Machine (SVM) algorithm gets the best result when training classifiers to identify decisions; and (4) the SVM algorithm with Including Stop Words (ISW), No Stemming and Lemmatization (NSaL), Filtering Out Sentences by Length (FOSbL), and BoW achieves the best performance (with a precision of 0.640, a recall of 0.932, and an F1-score of 0.759), compared with other configurations when identifying decisions from the mailing list.",0,0,0,0,1,0
92,Context: The vast majority of software engineering research is reported independently of the application domain: techniques and tools usage is reported without any domain context.,1,0,0,0,0,0
93,"As reported in previous research, this has not always been so: early in the computing era, the research focus was frequently application domain specific (for example, scientific and data processing).",1,0,0,0,0,0
94,Objective: We believe determining the research context is often important.,0,1,0,0,0,0
95,"Therefore we propose a code-based approach to identify the application domain of a software system, via its lexicon.",0,1,0,0,0,0
96,We compare its use against the plain textual description attached to the same system.,0,1,0,0,0,0
97,"Method: Using a sample of 50 Java projects, we obtained i) the description of each project (e.g., its ReadMe file), ii) the lexicon extracted from its source code, and iii) a list of its main topics extracted with the Latent Dirichlet Allocation (LDA) modelling technique.",0,0,0,1,0,0
98,"We assigned a random subset of these data items to different researchers (i.e., 'experts'), and asked them to assign each item to one (or more) application domain.",0,0,0,1,0,0
99,We then evaluated the precision and accuracy of the three techniques.,0,0,0,1,0,0
100,"Results: Using the agreement levels between experts, We observed that the 'baseline' dataset (i.e., the ReadMe files) obtained the highest average in terms of agreement between experts, but we also observed that the three techniques had the same mode and median agreement levels.",0,0,0,0,1,0
101,"Additionally, in the cases where no agreement was reached for the baseline dataset, the two other techniques provided sufficient additional support.",0,0,0,0,1,0
102,"Conclusions: We conclude that the source code is sufficient for determining the application domain, so that classification is possible without special documentation requirements.",0,0,0,0,0,1
103,Many companies have turned towards globally distributed software development in their quest for access to more development capacity.,1,0,0,0,0,0
104,"This paper investigates how a company onboarded distributed teams in a global project, and report experience on how to study such distributed projects.",0,1,0,0,0,0
105,Onboarding is the process of helping new team members adapt to the existing team and ways of working.,1,0,0,0,0,0
106,The goal of the studied onboarding program was to integrate Portuguese developers into two existing Norwegian teams.,0,0,0,1,0,0
107,"Further, due to the growing trend in utilizing globally distributed projects, and the challenge of conducting studies in distributed organizations, it is crucial to find good practices for researching such projects.",1,0,0,0,0,0
108,"We collected qualitative data from interviews, observations, Slack conversations and documents, and quantitative data on Slack activity.",0,0,0,0,1,0
109,"We report experiences on different onboarding practices and techniques, and we suggest guidelines to help other researchers conduct qualitative studies in globally distributed projects.",0,0,0,0,0,1
110,Expanding abbreviations in source code to their full meanings is very useful for software maintainers to comprehend the source code.,1,0,0,0,0,0
111,"The existing approaches, however, focus on expanding an abbreviation to a single word, i.e., unigram.",1,0,0,0,0,0
112,They do not perform well when dealing with abbreviations of phrases that consist of multiple unigrams.,1,0,0,0,0,0
113,This paper proposes a bigram-based approach for retrieving abbreviated phrases automatically.,0,1,0,0,0,0
114,Key to this approach is a bigram-based inference model for choosing the best phrase from all candidates.,0,0,0,1,0,0
115,It utilizes the statistical properties of unigrams and bigrams as prior knowledge and a bigram language model for estimating the likelihood of each candidate phrase of a given abbreviation.,0,0,0,1,0,0
116,"We have applied the bigram-based approach to 100 phrase abbreviations, randomly selected from eight open source projects.",0,0,0,1,0,0
117,The experiment results show that it has correctly retrieved 78% of the abbreviations by using the unigram and bigram properties of a source code repository.,0,0,0,0,1,0
118,This is 9% more accurate than the unigram-based approach and much better than other existing approaches.,0,0,0,0,1,0
119,The bigram-based approach is also less biased towards specific phrase sizes than the unigram-based approach.,0,0,0,0,1,0
120,"There is a rapidly increasing amount of Artificial Intelligence (AI) systems developed in recent years, with much expectation on its capacity of innovation and business value generation.",1,0,0,0,0,0
121,"However, the promised value of AI systems in specific business contexts might not be understood, and further integrated into the development processes.",1,0,0,0,0,0
122,"We wanted to understand how software engineering processes and practices can be applied to develop AI systems in a fast-faced, business-driven manner.",0,1,0,0,0,0
123,"As the first step, we explored contextual factors of AI development and the connections between AI developments to business opportunities.",0,0,0,1,0,0
124,"We conducted 12 semi-structured interviews in seven companies in Brazil, Norway and Southeast Asia.",0,0,0,1,0,0
125,Our investigation revealed different types of AI systems and different AI development approaches.,0,0,0,0,1,0
126,"However, it is common that business opportunities involving with AI systems are not validated and there is lack of business-driven metrics that guide the development of AI systems.",0,0,0,0,1,0
127,The findings have implications for future research on business-driven AI development and supporting tools and practices.,0,0,0,0,0,1
128,Conclusions that are drawn from experiments are subject to varying degrees of uncertainty.,1,0,0,0,0,0
129,"For example, they might rely on small data sets, employ statistical techniques that make assumptions that are hard to verify, or there may be unknown confounding factors.",1,0,0,0,0,0
130,"In this paper we propose an alternative but complementary mechanism to explicitly incorporate these various sources of uncertainty into reasoning about empirical findings, by applying Subjective Logic.",0,1,0,0,0,0
131,"To do this we show how typical traditional results can be encoded as ""subjective opinions"" -- the building blocks of Subjective Logic.",0,0,0,1,0,0
132,We demonstrate the value of the approach by using Subjective Logic to aggregate empirical results from two large published studies that explore the relationship between programming languages and defects or failures.,0,0,0,0,1,0
133,Background: Machine Learning (ML) has been widely used as a powerful tool to support Software Engineering (SE).,1,0,0,0,0,0
134,The fundamental assumptions of data characteristics required for specific ML methods have to be carefully considered prior to their applications in SE.,1,0,0,0,0,0
135,"Within the context of Continuous Integration (CI) and Continuous Deployment (CD) practices, there are two vital characteristics of data prone to be violated in SE research.",1,0,0,0,0,0
136,"First, the logs generated during CI/CD for training are imbalanced data, which is contrary to the principles of common balanced classifiers; second, these logs are also time-series data, which violates the assumption of cross-validation.",1,0,0,0,0,0
137,Objective: We aim to systematically study the two data characteristics and further provide a comprehensive evaluation for predictive CI/CD with the data from real projects.,0,1,0,0,0,0
138,Method: We conduct an experimental study that evaluates 67 CI/CD predictive models using both cross-validation and time-series-validation.,0,0,0,1,0,0
139,"Results: Our evaluation shows that cross-validation makes the evaluation of the models optimistic in most cases, there are a few counter-examples as well.",0,0,0,0,1,0
140,"The performance of the top 10 imbalanced models are better than the balanced models in the predictions of failed builds, even for balanced data.",0,0,0,0,1,0
141,The degree of data imbalance has a negative impact on prediction performance.,0,0,0,0,1,0
142,"Conclusion: In research and practice, the assumptions of the various ML methods should be seriously considered for the validity of research.",0,0,0,0,0,1
143,"Even if it is used to compare the relative performance of models, cross-validation may not be applicable to the problems with time-series features.",0,0,0,0,0,1
144,The research community need to revisit the evaluation results reported in some existing research.,0,0,0,0,0,1
145,Context: Software testing plays an important role in assuring the reliability of systems.,1,0,0,0,0,0
146,Assessing the efficacy of testing remains challenging with few established test effectiveness metrics.,1,0,0,0,0,0
147,Those metrics that have been used (e.g. coverage and mutation analysis) have been criticised for insufficiently differentiating between the faults detected by tests.,1,0,0,0,0,0
148,Objective: We investigate how effective tests are at detecting different types of faults and whether some types of fault evade tests more than others.,0,1,0,0,0,0
149,Our aim is to suggest to developers specific ways in which their tests need to be improved to increase fault detection.,0,1,0,0,0,0
150,Method: We investigate seven fault types and analyse how often each goes undetected in 10 open source systems.,0,0,0,1,0,0
151,We statistically look for any relationship between the test set and faults.,0,0,0,1,0,0
152,"Results: Our results suggest that the fault detection rates of unit tests are relatively low, typically finding only about a half of all faults.",0,0,0,0,1,0
153,"In addition, conditional boundary and method call removals are less well detected by tests than other fault types.",0,0,0,0,1,0
154,Conclusions: We conclude that the testing of these open source systems needs to be improved across the board.,0,0,0,0,0,1
155,"In addition, despite boundary cases being long known to attract faults, tests covering boundaries need particular improvement.",0,0,0,0,0,1
156,"Overall, we recommend that developers do not rely only on code coverage and mutation score to measure the effectiveness of their tests.",0,0,0,0,0,1
157,Software testing is a crucial activity to check the internal quality of a software.,1,0,0,0,0,0
158,"During testing, developers often create tests for the normal behavior of a particular functionality (e.g., was this file properly uploaded to the cloud?).",1,0,0,0,0,0
159,"However, little is known whether developers also create tests for the exceptional behavior (e.g., what happens if the network fails during the file upload?).",1,0,0,0,0,0
160,"To minimize this knowledge gap, in this paper we design and perform a mixed-method study to understand how 417 open source Java projects are testing the exceptional behavior using the JUnit and TestNG frameworks, and the AssertJ library.",0,1,0,0,0,0
161,We found that 254 (60.91%) projects have at least one test method dedicated to test the exceptional behavior.,0,0,0,0,1,0
162,We also found that the number of test methods for exceptional behavior with respect to the total number of test methods lies between 0% and 10% in 317 (76.02%) projects.,0,0,0,0,1,0
163,"Also, 239 (57.31%) projects test only up to 10% of the used exceptions in the System Under Test (SUT).",0,0,0,0,1,0
164,"When it comes to mobile apps, we found that, in general, developers pay less attention to exceptional behavior tests when compared to desktop/server and multi-platform developers.",0,0,0,0,1,0
165,"In general, we found more test methods covering custom exceptions (the ones created in the own project) when compared to standard exceptions available in the Java Development Kit (JDK) or in third-party libraries.",0,0,0,0,1,0
166,"To triangulate the results, we conduct a survey with 66 developers from the projects we study.",0,0,0,1,0,0
167,"In general, the survey results confirm our findings.",0,0,0,0,0,1
168,"In particular, the majority of the respondents agrees that developers often neglect exceptional behavior tests.",0,0,0,0,0,1
169,"As implications, our numbers might be important to alert developers that more effort should be placed on creating tests for the exceptional behavior.",0,0,0,0,0,1
170,"Driven by the need for faster time-to-market and reduced development lead-time, large-scale systems engineering companies are adopting agile methods in their organizations.",1,0,0,0,0,0
171,This agile transformation is challenging and it is common that adoption starts bottom-up with agile software teams within the context of traditional company structures.,1,0,0,0,0,0
172,This creates the challenge of agile teams working within a document-centric and plan-driven (or waterfall) environment.,1,0,0,0,0,0
173,"While it may be desirable to take the best of both worlds, it is not clear how that can be achieved especially with respect to managing requirements in large-scale systems.",1,0,0,0,0,0
174,This paper presents an exploratory case study focusing on two departments of a large-scale systems engineering company (automotive) that is in the process of company-wide agile adoption.,0,0,0,1,0,0
175,We present challenges that agile teams face while working within a larger plan-driven context and propose potential strategies to mitigate the challenges.,0,0,0,0,1,0
176,"Challenges relate to, e.g., development teams not being aware of the high-level requirements, difficulties to manage change of these requirements as well as their relationship to backlog items such as user stories.",0,0,0,0,1,0
177,"While we found strategies for solving most of the challenges, they remain abstract and empirical research on their effectiveness is currently lacking.",0,0,0,0,0,1
178,"Background: Practitioners would like to take action based on software metrics, as long as they find them reliable.",1,0,0,0,0,0
179,"Existing literature explores how metrics can be made reliable, but remains unclear if there are other conditions necessary for a metric to be actionable.",1,0,0,0,0,0
180,"Context & Method: In the context of a European H2020 Project, we conducted a multiple case study to study metrics' use in four companies, and identified instances where these metrics influenced actions.",0,0,0,1,0,0
181,We used an online questionnaire to enquire about the project participants' views on actionable metrics.,0,0,0,1,0,0
182,"Next, we invited one participant from each company to elaborate on the identified metrics' use for taking actions and the questionnaire responses (N=17).",0,0,0,1,0,0
183,"Result: We learned that a metric that is practical, contextual, and exhibits high data quality characteristics is actionable.",0,0,0,0,1,0
184,"Even a non-actionable metric can be useful, but an actionable metric mostly requires interpretation.",0,0,0,0,1,0
185,"However, the more these metrics are simple and reflect the software development context accurately, the less interpretation required to infer actionable information from the metric.",0,0,0,0,1,0
186,Company size and project characteristics can also influence the type of metric that can be actionable.,0,0,0,0,1,0
187,Conclusion: This exploration of industry's views on actionable metrics help characterize actionable metrics in practical terms.,0,0,0,0,0,1
188,This awareness of what characteristics constitute an actionable metric can facilitate their definition and development right from the start of a software metrics program.,0,0,0,0,0,1
189,Context: Quality requirements (QRs) have a significant role in the success of software projects.,1,0,0,0,0,0
190,"In agile software development (ASD), where working software is valued over comprehensive documentation, QRs are often under-specified or not documented.",1,0,0,0,0,0
191,"Consequently, they may be handled improperly and result in degraded software quality and increased maintenance costs.",1,0,0,0,0,0
192,"Investigating the documentation of QRs in ASD, would provide evidence on existing practices, tools and aspects considered in ASD that other practitioners might utilize to improve documentation and management of QRs in ASD.",1,0,0,0,0,0
193,"Although there are some studies examining documentation in ASD, those that specifically investigate the documentation of QRs in depth are lacking.",1,0,0,0,0,0
194,"Method: we conducted a multiple case study by interviewing 15 practitioners of four ASD cases, to provide empirical evidence on documentation of QRs in ASD.",0,0,0,1,0,0
195,"We also run workshops with two of the cases, to identify important aspects that ASD practitioners consider when documenting QRs in requirements management repositories.",0,0,0,1,0,0
196,Result and conclusions: ASD companies approach documentation of QRs to fit the needs of their context.,0,0,0,0,1,0
197,"They used tools, backlogs, iterative prototypes, and artifacts such as epic, and stories to document QRs, or utilized face-face communication without documenting QRs.",0,0,0,0,1,0
198,"We observed that documentation of QRs in ASD is affected by factors such as context (e.g. product domain, and size) and the experience of practitioners.",0,0,0,0,1,0
199,"Some tools used to document QRs also enhanced customer collaboration, enabling customers report and document QRs.",0,0,0,0,1,0
200,"Aspects such as levels of abstraction, the traceability of QRs, optimal details of information of QRs and verification and validation are deemed important when documenting QRs in ASD requirements management repositories.",0,0,0,0,1,0
201,"Modelling is a fundamental activity in software engineering, which is often performed in collaboration.",1,0,0,0,0,0
202,"For this purpose, on-line tools running on the cloud are frequently used.",1,0,0,0,0,0
203,"However, recent advances in Natural Language Processing have fostered the emergence of chatbots, which are increasingly used for all sorts of software engineering tasks, including modelling.",1,0,0,0,0,0
204,"To evaluate to what extent chatbots are suitable for collaborative modelling, we conducted an experimental study with 54 participants, to evaluate the usability of a modelling chatbot called SOCIO, comparing it with the on-line tool Creately.",0,1,0,0,0,0
205,We employed a within-subjects cross-over design of 2 sequences and 2 periods.,0,0,0,1,0,0
206,"Usability was determined by attributes of efficiency, effectiveness, satisfaction and quality of the results.",0,0,0,1,0,0
207,We found that SOCIO saved time and reduced communication effort over Creately.,0,0,0,0,1,0
208,"SOCIO satisfied users to a greater extent than Creately, while in effectiveness results were similar.",0,0,0,0,1,0
209,"With respect to diagram quality, SOCIO outperformed Creately in terms of precision, while solutions with Creately had better recall and perceived success.",0,0,0,0,1,0
210,"However, in terms of accuracy and error scores, both tools were similar.",0,0,0,0,1,0
211,Pull requests are a method to facilitate review and management of contribution in distributed software development.,1,0,0,0,0,0
212,"Software developers author commits, and present them in a pull request to be inspected by maintainers and reviewers.",1,0,0,0,0,0
213,"The success and sustainability of communities depends on ongoing contributions, but rejections decrease motivation of contributors.",1,0,0,0,0,0
214,We carried out a a qualitative study to understand the mechanisms of evaluating PRs in open source software (FOSS) communities from developers and maintainers perspective.,0,1,0,0,0,0
215,We interviewed 30 participants from five different FOSS communities.,0,0,0,1,0,0
216,"The data shows that acceptance of contributions depends not only on technical criteria, but also significantly on social and strategic aspects.",0,0,0,0,1,0
217,"This paper identifies three PR governance styles found in the studied communities: (1) protective, (2) equitable and (3) lenient.",0,0,0,0,1,0
218,Each one of these styles has its particularities.,0,0,0,0,1,0
219,"While the protective style values trustworthiness and reliability of the contributor, the lenient style believes in creating a positive and welcoming environment where contributors are mentored to evolve contributions until they meet the community standards.",0,0,0,0,1,0
220,"Despite the differences, these governance styles have a commonality, they all safeguard the quality of the software.",0,0,0,0,0,1
221,Background: Using design metrics to predict fault-prone elements of a software design can help to focus attention on classes that need redesign and more extensive testing.,1,0,0,0,0,0
222,"However, some design metrics have been pointed out to be theoretically invalid, and the usefulness of some metrics is questioned.",1,0,0,0,0,0
223,"Aim: To identify a set of object-oriented metrics that are theoretically valid, and useful for identifying fault-prone classes in a design.",0,1,0,0,0,0
224,"Method: Drawing on four well-known sets of design metrics (CK, LK, MOOD and QMOOD), we propose a consolidated set of metrics that covers many aspects of object-oriented software design.",0,0,0,1,0,0
225,"We conduct two experiments, first using a single large system and then considering successive releases of that system, to compare the usefulness of the consolidated set with the other four sets for within-project prediction of fault-prone classes.",0,0,0,1,0,0
226,"Results: Both experiments suggest the consolidated set is effective at identifying fault-prone classes, outperforming the other metric sets (though at a cost of more false alarms).",0,0,0,0,1,0
227,"Conclusion: This paper adds to knowledge about the usefulness of existing sets of design metrics for within-project defect prediction, and identifies a consolidated set of metrics that is more effective than the existing sets at identifying fault-prone classes.",0,0,0,0,0,1
228,Background: Little is known about the practices used for technical debt (TD) payment.,1,0,0,0,0,0
229,"The study of payment practices, as well as the reasons for not applying them, can help practitioners to control and manage TD items.",1,0,0,0,0,0
230,"Aims: To investigate, from the point of view of software practitioners, if TD items have been paid off in software projects, the practices that have been used to pay off TD and the reasons that hamper the implementation of these practices.",0,1,0,0,0,0
231,"Method: We analyzed - both quantitatively and qualitatively - a corpus of responses from a survey of 432 practitioners, from four countries, about the possibility of TD payment.",0,0,0,1,0,0
232,"Results: We found that, for most of the cases, TD items have not been eliminated from software projects.",0,0,0,0,1,0
233,"The main reasons for not paying off TD are lack of organizational interest, low priority on the debt, focus on short-term goals, cost, and lack of time.",0,0,0,0,1,0
234,"On the other hand, we identified that code refactoring, design refactoring, and update system documentation are the most used practices for TD payment.",0,0,0,0,1,0
235,"Practitioners also cited practices related to the prevention, prioritization, and creation of a favorable setting as part of TD payment initiatives.",0,0,0,0,1,0
236,Conclusion: This paper summarizes the identified practices and reasons for not paying off debt items in a map.,0,0,0,0,0,1
237,Our map reveals that the majority of payment practices are of a technical nature while the majority of reasons for not paying off debts are associated with non-technical issues.,0,0,0,0,0,1
