,sentence,background_motivation,aim_contribution,research_object,research_method,results_findings,summary
57,Method: This paper extends the graph matching technology based on the past and proposes a new method that combines network analysis and structural matching for detection.,0,1,1,0,0,0
58,"First, we use network level analysis to obtain important nodes, then use the neighborhood path matching algorithm to match the pattern instance.",0,0,1,1,0,0
59,"Result: We describe the detection of five patterns on four open source systems, then analyze and compare with the other three methods, for achieving high precision and recall, which demonstrates that our method is effective.",0,0,0,0,1,0
60,"Conclusion: Using combining network analysis with structural matching can well detect these pattern instances, and these instances are also especially important for future software refactoring.",0,0,0,0,0,1
61,GitHub has become a precious service for storing and managing software source code.,1,0,0,0,0,0
62,"Over the last year, 10M new developers have joined the GitHub community, contributing to more than 44M repositories.",1,0,0,0,0,0
63,"In order to help developers increase the reachability of their repositories, in 2017 GitHub introduced the possibility to classify them by means of topics.",1,0,0,0,0,0
64,"However, assigning wrong topics to a given repository can compromise the possibility of helping other developers approach it, and thus preventing them from contributing to its development.",1,0,0,0,0,0
65,In this paper we investigate the application of Multinomial Naïve Bayesian (MNB) networks to automatically classify GitHub repositories.,0,0,1,0,0,0
66,"By analyzing the README file(s) of the repository to be classified and the source code implementing it, the conceived approach is able to recommend GitHub topics.",0,0,1,0,0,0
67,"To the best of our knowledge, this is the first supervised approach addressing the considered problem.",0,0,0,0,0,1
68,"Consequently, since there exists no suitable baseline for the comparison, we validated the approach by considering different metrics, aiming to study various quality aspects.",0,0,0,1,0,1
69,The software engineering industry is increasingly aware of the role and value of neurodiverse engineers within the workforce.,1,0,0,0,0,0
70,One motivation is the alignment between skills needed for software development and the processing strengths of individuals with autistic spectrum conditions.,1,0,0,0,0,0
71,"One aspect of neurodiversity is dyslexia, typically presenting in individuals through a range of reading deficiencies.",1,0,0,0,0,0
72,In this paper we build on recent work which has sought to investigate if programmers with dyslexia read program code in a way which is different from programmers without dyslexia.,0,1,0,0,0,0
73,The particular focus of this analysis is the nature of saccadic movement and patterns of linearity when reading code.,0,0,1,0,0,0
74,A study is presented in which the eye gaze of 28 programmers (14 with dyslexia and 14 without) was recorded using an eye tracking device while reading and understanding three on-screen Java programs.,0,0,0,1,0,0
75,"Using insights from the wider dyslexia literature, hypotheses are formulated to reflect the expected saccadic gaze behaviour of programmers with dyslexia.",0,0,0,1,0,0
76,A range of existing metrics for linearity of program reading are adapted and used for statistical analysis of the data.,0,0,0,1,0,0
77,Results are consistent with recent work elsewhere and indicate that programmers with dyslexia do not exhibit patterns of linearity significantly different from the control group.,0,0,0,0,1,0
78,Non-linear gaze is shown to be approximately 40% of all saccadic movement.,0,0,0,0,1,0
79,"Some preliminary insights are offered based on the data available, suggesting that the extent of non-linear reading when comprehending program code might complement the processing and problem solving style of the programmer with dyslexia.",0,0,0,0,0,1
80,"In Software Product Lines (SPL), feature extraction from software requirements specifications has been subject to intense research in order to assist domain analysis in a time-saving way.",1,0,0,0,0,0
81,"Although various approaches are proposed to extract features, there still exists a gap to achieve the complete view of features, that is, how to figure out the intention of a feature.",1,0,0,0,0,0
82,Feature terms as the smallest units in a feature can be regarded as vital indicators for describing a feature.,1,0,0,0,0,0
83,"Automated feature term extraction can provide key information regarding the intention of a feature, which improves the efficiency of domain analysis.",1,0,0,0,0,0
84,"In this paper, we propose an approach to train prediction models by using machine learning techniques to identify feature terms.",0,1,1,0,0,0
85,"To this end, we extract candidate terms from requirement specifications in one domain and take six attributes of each term into account to create a labeled dataset.",0,0,0,1,0,0
86,"Subsequently, we apply seven commonly used machine algorithms to train prediction models on the labeled dataset.",0,0,0,1,0,0
87,We then use these prediction models to predict feature terms from the requirements belonging to the other two different domains.,0,0,0,1,0,0
88,"Our results show that (1) feature terms can be predicted with high accuracy of ≈ 90% within a domain (2) prediction across domains leads to a decreased but still good accuracy (≈ 80%), and (3) machine learning algorithms perform differently.",0,0,0,0,1,0
89,Spectrum-Based Fault Localization (SBFL) follows the basic intuitions that the faulty parts are more likely to be covered by failure-revealing test cases and less likely to be covered by passed test cases.,1,0,0,0,0,0
90,"However, due to the diversity of programs and faults, many other characteristics (related to program structure, test suites, and type of faulty components) will influence the practical application of SBFL.",1,0,0,0,0,0
91,"For example, a statement can be covered by numerous failure-revealing test cases, and also covered by numerous passed test cases.",1,0,0,0,0,0
92,"To get more indicators about the faulty components towards a better application of SBFL, we extend the scope of spectrum-based knowledge from the basic intuitions to the Characteristics of Spectra Distribution (CSDs for short).",0,1,0,0,0,0
93,"That is, we explore the relationships between different types of statements and their spectra.",0,0,1,0,0,0
94,"Firstly, we introduce the concepts of Failure-Independent, Failure-Related, and Failure-Exclusionary to describe the relationships between different types of statements and their executions.",0,1,1,0,0,0
95,"Then, we propose two probabilistic models, with and without the noise of fault interference, respectively, to identify various CSDs for each type of statements.",0,0,1,1,0,0
96,"As the analysis results, we introduce a visualization technique to generalize the identified CSDs and provide an overall picture of spectra distribution and its dynamics.",0,0,1,1,0,0
97,"Finally, based on our analysis and also the observation of the program spectra of current benchmarks, we design a technique to filter the potential non-faulty statements to improve the accuracy of SBFL.",0,0,0,0,1,0
98,Context: The vast majority of software engineering research is reported independently of the application domain: techniques and tools usage is reported without any domain context.,1,0,0,0,0,0
99,"As reported in previous research, this has not always been so: early in the computing era, the research focus was frequently application domain specific (for example, scientific and data processing).",1,0,0,0,0,0
100,Objective: We believe determining the research context is often important.,0,1,0,0,0,0
101,"Therefore we propose a code-based approach to identify the application domain of a software system, via its lexicon.",0,1,1,0,0,0
102,We compare its use against the plain textual description attached to the same system.,0,0,1,0,0,0
103,"Method: Using a sample of 50 Java projects, we obtained i) the description of each project (e.g., its ReadMe file), ii) the lexicon extracted from its source code, and iii) a list of its main topics extracted with the Latent Dirichlet Allocation (LDA) modelling technique.",0,0,0,1,0,0
104,"We assigned a random subset of these data items to different researchers (i.e., 'experts'), and asked them to assign each item to one (or more) application domain.",0,0,0,1,0,0
105,We then evaluated the precision and accuracy of the three techniques.,0,0,0,1,0,0
106,"Results: Using the agreement levels between experts, We observed that the 'baseline' dataset (i.e., the ReadMe files) obtained the highest average in terms of agreement between experts, but we also observed that the three techniques had the same mode and median agreement levels.",0,0,0,0,1,0
107,"Additionally, in the cases where no agreement was reached for the baseline dataset, the two other techniques provided sufficient additional support.",0,0,0,0,1,0
108,"Conclusions: We conclude that the source code is sufficient for determining the application domain, so that classification is possible without special documentation requirements.",0,0,0,0,0,1
109,Context: There is considerable diversity in the range and design of computational experiments to assess classifiers for software defect prediction.,1,0,0,0,0,0
110,"This is particularly so, regarding the choice of classifier performance metrics.",1,0,0,0,0,0
111,"Unfortunately some widely used metrics are known to be biased, in particular F1.",1,0,0,0,0,0
112,Objective: We want to understand the extent to which the widespread use of the F1 renders empirical results in software defect prediction unreliable.,0,1,0,0,0,0
113,Method: We searched for defect prediction studies that report both F1 and the Matthews correlation coefficient (MCC).,0,0,0,1,0,0
114,This enabled us to determine the proportion of results that are consistent between both metrics and the proportion that change.,0,0,0,1,0,0
115,Results: Our systematic review identifies 8 studies comprising 4017 pairwise results.,0,0,0,0,1,0
116,"Of these results, the direction of the comparison changes in 23% of the cases when the unbiased MCC metric is employed.",0,0,0,0,1,0
117,"Conclusion: We find compelling reasons why the choice of classification performance metric matters, specifically the biased and misleading F1 metric should be deprecated.",0,0,0,0,0,1
118,Background: Publication bias is the failure to publish the results of a study based on the direction or strength of the study findings.,1,0,0,0,0,0
119,The existence of publication bias is firmly established in areas like medical research.,1,0,0,0,0,0
120,Recent research suggests the existence of publication bias in Software Engineering.,1,0,0,0,0,0
121,Aims: Finding out whether experiments published in the International Workshop on Empirical Software Engineering and Measurement (ESEM) are affected by publication bias.,0,1,0,0,0,0
122,Method: We review experiments published in ESEM.,0,0,1,1,0,0
123,We also survey with experimental researchers to triangulate our findings.,0,0,0,1,0,0
124,Results: ESEM experiments do not define hypotheses and frequently perform multiple testing.,0,0,0,0,1,0
125,One-tailed tests have a slightly higher rate of achieving statistically significant results.,0,0,0,0,1,0
126,We could not find other practices associated with publication bias.,0,0,0,0,0,1
127,"Conclusions: Our results provide a more encouraging perspective of SE research than previous research: (1) ESEM publications do not seem to be strongly affected by biases and (2) we identify some practices that could be associated with p-hacking, but it is more likely that they are related to the conduction of exploratory research.",0,0,0,0,0,1
128,Conclusions that are drawn from experiments are subject to varying degrees of uncertainty.,1,0,0,0,0,0
129,"For example, they might rely on small data sets, employ statistical techniques that make assumptions that are hard to verify, or there may be unknown confounding factors.",1,0,0,0,0,0
130,"In this paper we propose an alternative but complementary mechanism to explicitly incorporate these various sources of uncertainty into reasoning about empirical findings, by applying Subjective Logic.",0,1,1,0,0,0
131,"To do this we show how typical traditional results can be encoded as ""subjective opinions"" -- the building blocks of Subjective Logic.",0,1,0,0,0,0
132,We demonstrate the value of the approach by using Subjective Logic to aggregate empirical results from two large published studies that explore the relationship between programming languages and defects or failures.,0,1,0,1,0,0
133,Many companies have turned towards globally distributed software development in their quest for access to more development capacity.,1,0,0,0,0,0
134,"This paper investigates how a company onboarded distributed teams in a global project, and report experience on how to study such distributed projects.",0,1,1,0,0,0
135,Onboarding is the process of helping new team members adapt to the existing team and ways of working.,0,0,1,0,0,0
136,The goal of the studied onboarding program was to integrate Portuguese developers into two existing Norwegian teams.,0,0,1,0,0,0
137,"Further, due to the growing trend in utilizing globally distributed projects, and the challenge of conducting studies in distributed organizations, it is crucial to find good practices for researching such projects.",0,0,1,0,0,0
138,"We collected qualitative data from interviews, observations, Slack conversations and documents, and quantitative data on Slack activity.",0,0,0,1,0,0
139,"We report experiences on different onboarding practices and techniques, and we suggest guidelines to help other researchers conduct qualitative studies in globally distributed projects.",0,0,0,0,1,0
140,Context: Software testing plays an important role in assuring the reliability of systems.,1,0,0,0,0,0
141,Assessing the efficacy of testing remains challenging with few established test effectiveness metrics.,1,0,0,0,0,0
142,Those metrics that have been used (e.g. coverage and mutation analysis) have been criticised for insufficiently differentiating between the faults detected by tests.,1,0,0,0,0,0
143,Objective: We investigate how effective tests are at detecting different types of faults and whether some types of fault evade tests more than others.,0,1,1,0,0,0
144,Our aim is to suggest to developers specific ways in which their tests need to be improved to increase fault detection.,0,1,0,0,0,0
145,Method: We investigate seven fault types and analyse how often each goes undetected in 10 open source systems.,0,0,1,1,0,0
146,We statistically look for any relationship between the test set and faults.,0,0,0,1,0,0
147,"Results: Our results suggest that the fault detection rates of unit tests are relatively low, typically finding only about a half of all faults.",0,0,0,0,1,0
148,"In addition, conditional boundary and method call removals are less well detected by tests than other fault types.",0,0,0,0,1,0
149,Conclusions: We conclude that the testing of these open source systems needs to be improved across the board.,0,0,0,0,0,1
150,"In addition, despite boundary cases being long known to attract faults, tests covering boundaries need particular improvement.",0,0,0,0,0,1
151,"Overall, we recommend that developers do not rely only on code coverage and mutation score to measure the effectiveness of their tests.",0,0,0,0,0,1
152,Software testing is a crucial activity to check the internal quality of a software.,1,0,0,0,0,0
153,"During testing, developers often create tests for the normal behavior of a particular functionality (e.g., was this file properly uploaded to the cloud?).",1,0,0,0,0,0
154,"However, little is known whether developers also create tests for the exceptional behavior (e.g., what happens if the network fails during the file upload?).",1,0,0,0,0,0
155,"To minimize this knowledge gap, in this paper we design and perform a mixed-method study to understand how 417 open source Java projects are testing the exceptional behavior using the JUnit and TestNG frameworks, and the AssertJ library.",0,0,0,1,0,0
156,We found that 254 (60.91%) projects have at least one test method dedicated to test the exceptional behavior.,0,0,0,0,1,0
157,We also found that the number of test methods for exceptional behavior with respect to the total number of test methods lies between 0% and 10% in 317 (76.02%) projects.,0,0,0,0,1,0
158,"Also, 239 (57.31%) projects test only up to 10% of the used exceptions in the System Under Test (SUT).",0,0,0,0,1,0
159,"When it comes to mobile apps, we found that, in general, developers pay less attention to exceptional behavior tests when compared to desktop/server and multi-platform developers.",0,0,0,0,1,0
160,"In general, we found more test methods covering custom exceptions (the ones created in the own project) when compared to standard exceptions available in the Java Development Kit (JDK) or in third-party libraries.",0,0,0,0,1,0
161,"To triangulate the results, we conduct a survey with 66 developers from the projects we study.",0,0,0,1,0,0
162,"In general, the survey results confirm our findings.",0,0,0,0,1,0
163,"In particular, the majority of the respondents agrees that developers often neglect exceptional behavior tests.",0,0,0,0,1,0
164,"As implications, our numbers might be important to alert developers that more effort should be placed on creating tests for the exceptional behavior.",0,0,0,0,0,1
165,Factors such as app stores or platform choices heavily affect functional and non-functional mobile app requirements.,1,0,0,0,0,0
166,We surveyed 45 companies and interviewed ten experts to explore how factors that impact mobile app requirements are understood by requirements engineers in the mobile app industry.,0,1,1,1,0,0
167,We observed the lack of knowledge in several areas.,0,0,0,0,1,0
168,"For instance, we observed that all practitioners were aware of data privacy concerns, however, they did not know that certain third-party libraries, usage aggregators, or advertising libraries also occasionally leak sensitive user data.",0,0,0,0,1,0
169,"Similarly, certain functional requirements may not be implementable in the absence of a third-party library that is either banned from an app store for policy violations or lacks features, for instance, missing desired features in ARKit library for iOS made practitioners turn to Android.",0,0,0,0,1,0
170,"We conclude that requirements engineers should have adequate technical experience with mobile app development as well as sufficient knowledge in areas such as privacy, security and law, in order to make informed decisions during requirements elicitation.",0,0,0,0,0,1
171,Context.,1,0,0,0,0,0
172,Developers have access to tools like Google Lighthouse to assess the performance of web apps and to guide the adoption of development best practices.,1,0,0,0,0,0
173,"However, when it comes to energy consumption of mobile web apps, these tools seem to be lacking.",1,0,0,0,0,0
174,This study investigates on the correlation between the performance scores produced by Lighthouse and the energy consumption of mobile web apps.,0,1,1,0,0,0
175,Method.,0,0,0,1,0,0
176,We design and conduct an empirical experiment where 21 real mobile web apps are (i) analyzed via the Lighthouse performance analysis tool and (ii) measured on an Android device running a software-based energy profiler.,0,0,0,1,0,0
177,"Then, we statistically assess how energy consumption correlates with the obtained performance scores and carry out an effect size estimation.",0,0,0,1,0,0
178,Results.,0,0,0,0,1,0
179,"We discover a statistically significant negative correlation between performance scores and the energy consumption of mobile web apps (with medium to large effect sizes), implying that an increase of the performance score tend to lead to a decrease of energy consumption.",0,0,0,0,1,0
180,Conclusions.,0,0,0,0,0,1
181,"We recommend developers to strive to improve the performance level of their mobile web apps, as this can also have a positive impact on their energy consumption on Android devices.",0,0,0,0,0,1
182,Open source software (OSS) communities are often able to produce high quality software comparable to proprietary software.,1,0,0,0,0,0
183,"The success of an open source software development (OSSD) community is often attributed to the underlying governance model, and a key component of these models is the decision-making (DM) process.",1,0,0,0,0,0
184,"While there have been studies on the decision-making processes publicized by OSS communities (e.g., through published process diagrams), little has been done to study decision-making processes that can be extracted using a bottom-up, data-driven approach, which can then be used to assess whether the publicized processes conform to the extracted processes.",1,0,0,0,0,0
185,"To bridge this gap, we undertook a large-scale data-driven study to understand how decisions are made in an OSSD community, using the case study of Python Enhancement Proposals (PEPs), which embody decisions made during the evolution of the Python language.",0,1,1,1,0,0
186,"Our main contributions are: (a) the design and development of a framework using information retrieval and natural language processing techniques to analyze the Python email archives (comprising 1.48 million emails), and (b) the extraction of decision-making processes that reveal activities that are neither explicitly mentioned in documentation published by the Python community nor identified in prior research work.",0,1,1,1,0,0
187,Our results provide insights into the actual decision-making process employed by the Python community.,0,0,0,0,1,0
188,Background: Little is known about the practices used for technical debt (TD) payment.,1,0,0,0,0,0
189,"The study of payment practices, as well as the reasons for not applying them, can help practitioners to control and manage TD items.",1,0,0,0,0,0
190,"Aims: To investigate, from the point of view of software practitioners, if TD items have been paid off in software projects, the practices that have been used to pay off TD and the reasons that hamper the implementation of these practices.",0,1,1,0,0,0
191,"Method: We analyzed - both quantitatively and qualitatively - a corpus of responses from a survey of 432 practitioners, from four countries, about the possibility of TD payment.",0,0,0,1,0,0
192,"Results: We found that, for most of the cases, TD items have not been eliminated from software projects.",0,0,0,0,1,0
193,"The main reasons for not paying off TD are lack of organizational interest, low priority on the debt, focus on short-term goals, cost, and lack of time.",0,0,0,0,1,0
194,"On the other hand, we identified that code refactoring, design refactoring, and update system documentation are the most used practices for TD payment.",0,0,0,0,1,0
195,"Practitioners also cited practices related to the prevention, prioritization, and creation of a favorable setting as part of TD payment initiatives.",0,0,0,0,1,0
196,Conclusion: This paper summarizes the identified practices and reasons for not paying off debt items in a map.,0,0,0,0,0,1
197,Our map reveals that the majority of payment practices are of a technical nature while the majority of reasons for not paying off debts are associated with non-technical issues.,0,0,0,0,0,1
198,Pull requests are a method to facilitate review and management of contribution in distributed software development.,1,0,0,0,0,0
199,"Software developers author commits, and present them in a pull request to be inspected by maintainers and reviewers.",1,0,0,0,0,0
200,"The success and sustainability of communities depends on ongoing contributions, but rejections decrease motivation of contributors.",1,0,0,0,0,0
201,We carried out a a qualitative study to understand the mechanisms of evaluating PRs in open source software (FOSS) communities from developers and maintainers perspective.,0,1,0,1,0,0
202,We interviewed 30 participants from five different FOSS communities.,0,0,0,1,0,0
203,"The data shows that acceptance of contributions depends not only on technical criteria, but also significantly on social and strategic aspects.",0,0,0,0,1,0
204,"This paper identifies three PR governance styles found in the studied communities: (1) protective, (2) equitable and (3) lenient.",0,0,0,0,1,0
205,Each one of these styles has its particularities.,0,0,0,0,1,0
206,"While the protective style values trustworthiness and reliability of the contributor, the lenient style believes in creating a positive and welcoming environment where contributors are mentored to evolve contributions until they meet the community standards.",0,0,0,0,1,0
207,"Despite the differences, these governance styles have a commonality, they all safeguard the quality of the software.",0,0,0,0,0,1
208,Background: Using design metrics to predict fault-prone elements of a software design can help to focus attention on classes that need redesign and more extensive testing.,1,0,0,0,0,0
209,"However, some design metrics have been pointed out to be theoretically invalid, and the usefulness of some metrics is questioned.",1,0,0,0,0,0
210,"Aim: To identify a set of object-oriented metrics that are theoretically valid, and useful for identifying fault-prone classes in a design.",0,1,1,0,0,0
211,"Method: Drawing on four well-known sets of design metrics (CK, LK, MOOD and QMOOD), we propose a consolidated set of metrics that covers many aspects of object-oriented software design.",0,0,1,0,0,0
212,"We conduct two experiments, first using a single large system and then considering successive releases of that system, to compare the usefulness of the consolidated set with the other four sets for within-project prediction of fault-prone classes.",0,0,0,1,0,0
213,"Results: Both experiments suggest the consolidated set is effective at identifying fault-prone classes, outperforming the other metric sets (though at a cost of more false alarms).",0,0,0,0,1,0
214,"Conclusion: This paper adds to knowledge about the usefulness of existing sets of design metrics for within-project defect prediction, and identifies a consolidated set of metrics that is more effective than the existing sets at identifying fault-prone classes.",0,0,0,0,0,1
215,"Background: Practitioners would like to take action based on software metrics, as long as they find them reliable.",1,0,0,0,0,0
216,"Existing literature explores how metrics can be made reliable, but remains unclear if there are other conditions necessary for a metric to be actionable.",1,0,0,0,0,0
217,"Context & Method: In the context of a European H2020 Project, we conducted a multiple case study to study metrics' use in four companies, and identified instances where these metrics influenced actions.",0,0,0,1,0,0
218,We used an online questionnaire to enquire about the project participants' views on actionable metrics.,0,0,0,1,0,0
219,"Next, we invited one participant from each company to elaborate on the identified metrics' use for taking actions and the questionnaire responses (N=17).",0,0,0,1,0,0
220,"Result: We learned that a metric that is practical, contextual, and exhibits high data quality characteristics is actionable.",0,0,0,0,1,0
221,"Even a non-actionable metric can be useful, but an actionable metric mostly requires interpretation.",0,0,0,0,1,0
222,"However, the more these metrics are simple and reflect the software development context accurately, the less interpretation required to infer actionable information from the metric.",0,0,0,0,1,0
223,Company size and project characteristics can also influence the type of metric that can be actionable.,0,0,0,0,1,0
224,Conclusion: This exploration of industry's views on actionable metrics help characterize actionable metrics in practical terms.,0,0,0,0,0,1
225,This awareness of what characteristics constitute an actionable metric can facilitate their definition and development right from the start of a software metrics program.,0,0,0,0,0,1
226,Context: Quality requirements (QRs) have a significant role in the success of software projects.,1,0,0,0,0,0
227,"In agile software development (ASD), where working software is valued over comprehensive documentation, QRs are often under-specified or not documented.",1,0,0,0,0,0
228,"Consequently, they may be handled improperly and result in degraded software quality and increased maintenance costs.",1,0,0,0,0,0
229,"Investigating the documentation of QRs in ASD, would provide evidence on existing practices, tools and aspects considered in ASD that other practitioners might utilize to improve documentation and management of QRs in ASD.",1,0,0,0,0,0
230,"Although there are some studies examining documentation in ASD, those that specifically investigate the documentation of QRs in depth are lacking.",1,0,0,0,0,0
231,"Method: we conducted a multiple case study by interviewing 15 practitioners of four ASD cases, to provide empirical evidence on documentation of QRs in ASD.",0,0,0,1,0,0
232,"We also run workshops with two of the cases, to identify important aspects that ASD practitioners consider when documenting QRs in requirements management repositories.",0,0,0,1,0,0
233,Result and conclusions: ASD companies approach documentation of QRs to fit the needs of their context.,0,0,0,0,1,0
234,"They used tools, backlogs, iterative prototypes, and artifacts such as epic, and stories to document QRs, or utilized face-face communication without documenting QRs.",0,0,0,0,1,0
235,"We observed that documentation of QRs in ASD is affected by factors such as context (e.g. product domain, and size) and the experience of practitioners.",0,0,0,0,1,0
236,"Some tools used to document QRs also enhanced customer collaboration, enabling customers report and document QRs.",0,0,0,0,1,0
237,"Aspects such as levels of abstraction, the traceability of QRs, optimal details of information of QRs and verification and validation are deemed important when documenting QRs in ASD requirements management repositories.",0,0,0,0,1,0
