,sentence,background_motivation,research_method,aim_contribution_research_object,results_findings_summary
21,"We conduct a qualitative study consisting of interviews with 14 VBA programmers, who share their perceptions about 20 inspection rules that most frequently detected code quality issues in an industrial dataset of 25 VBA applications, obtained from a financial services company.",0,1,0,0
22,"Results show that the 20 studied inspection rules can be grouped into three categories of user perceptions based on the type of issues they warn about: i) 11 rules that warn about serious problems which need fixing, ii) 7 rules that warn about bad practices which do not mandate fixing, and iii) 2 rules that warn about purposeful code elements rather than issues.",0,0,0,1
23,"Based on these perceptions, we conclude that automatic code inspection is considerably relevant in an end-user development context such as VBA.",0,0,0,1
24,The perceptions also indicate which inspection rules deserve the most attention from interested researchers and tool developers.,0,0,0,1
25,"Lastly, our results also reveal 3 additional issue types that are not covered by the existing inspection rules, and are therefore impetus for creating new rules.",0,0,0,1
26,Context: Data synthesis is one of the most significant tasks in Systematic Literature Review (SLR).,1,0,0,0
27,Software Engineering (SE) researchers have adopted a variety of methods of synthesizing data that originated in other disciplines.,1,0,0,0
28,"One of the qualitative data synthesis methods is meta-ethnography, which is being used in SE SLRs.",1,0,0,0
29,Objective: We aim at studying the adoption of meta-ethnography in SE SLRs in order to understand how this method has been used in SE.,0,0,1,0
30,Method: We conducted a tertiary study of the use of meta-ethnography by reviewing sixteen SLRs.,0,1,0,0
31,We carried out an empirical inquiry by integrating SLR and confirmatory email survey.,0,1,0,0
32,"Results: There is a general lack of knowledge, or even awareness, of different aspects of meta-ethnography and/or how to apply it.",0,0,0,1
33,Conclusion: There is a need of investment in gaining in-depth knowledge and skills of correctly applying meta-ethnography in order to increase the quality and reliability of the findings generated from SE SLRs.,0,0,0,1
34,Our study reveals that meta-ethnography is a suitable method to SE research.,0,0,0,1
35,We discuss challenges and propose recommendations of adopting meta-ethnography in SE.,0,0,0,1
36,Our effort also offers a preliminary checklist of the systematic considerations for doing meta-ethnography in SE and improving the quality of meta-ethnographic research in SE.,0,0,0,1
37,Learning software security is a big challenging task in the information technology sector due to the vast amount of security knowledge and the difficulties in understanding the practical applications.,1,0,0,0
38,"The traditional teaching and learning materials, which are usually organized topically and security-centric, have fewer linkages with learners' experience and prior knowledge that they bring to the learning sessions.",1,0,0,0
39,Learners often do not associate vulnerabilities or coding practices with programs similar to what they were writing in their previous time.,1,0,0,0
40,"Consequently, their motivation for learning is not touched by conventional methods.",1,0,0,0
41,"The aim of this paper is the presentation of an ontology-based learning system for software security with contextualized learning approaches, and of the results of an initial evaluation using a controlled quasi-experiment in a university learning environment.",0,0,1,0
42,"This system facilitates the contextual learning process by providing contextualized access to security knowledge via real software application scenarios, in which learners can explore and relate the security knowledge to the context they are already familiar with.",0,0,1,0
43,The experiment results show that the prototyped system with the proposed learning approach not only yields significant knowledge gain compared to the conventional learning approach but also gains better learning satisfaction of students.,0,0,0,1
44,"Role stereotypes indicate generic roles that classes play in the design of software systems (e.g. controller, information holder, or interfacer).",1,0,0,0
45,"Knowledge about the role-stereotypes can help in various tasks in software development and maintenance, such as program understanding, program summarization, and quality assurance.",1,0,0,0
46,This paper presents an automated machine learning-based approach for classifying the role-stereotype of classes in Java.,0,0,1,0
47,We analyse the performance of this approach against a manually labelled ground truth for a sizable open source project (of 770+ Java classes) for the Android platform.,0,1,0,0
48,"Moreover, we compare our approach to an existing rule-based classification approach.",0,1,0,0
49,The contributions of this paper include an analysis of which machine learning algorithms and which features provide the best classification performance.,0,0,1,0
50,This analysis shows that the Random Forest algorithm yields the best classification performance.,0,0,0,1
51,"We find however, that the performance of the ML-classifier varies a lot for classifying different role-stereotypes.",0,0,0,1
52,In particular its performs degrades for rare role-types.,0,0,0,1
53,"Our ML-classifier improves over the existing rule-based classification method in that the ML-approach classifies all classes, while rule-based approaches leave a significant number of classes unclassified.",0,0,0,1
54,"Background Binary Logistic Regression is widely used in Empirical Software Engineering to build estimation models, e.g., fault-proneness models, which estimate the probability that a given module is faulty, based on some measures of the module.",1,0,0,0
55,"Fault-proneness models are then used to build faultiness model, i.e., models that estimate whether a given module is faulty or non-faulty.",1,0,0,0
56,"Objective Because of the very nature of Binary Logistic Regression, there is always a range of values of the independent variable in which estimates are very close to the estimates that would be obtained via random estimation.",1,0,0,0
57,"These estimates are hardly accurate, and should be regarded as not reliable.",1,0,0,0
58,"For Binary Logistic Regression models used to build faultiness models---i.e., binary classifiers---a range where estimates are inaccurate can be regarded as an ""uncertainty"" area, where the model is uncertain about the faultiness of the given modules.",1,0,0,0
59,We define and empirically validate a simple method to identify the uncertainty region.,0,0,1,0
60,Method We compute the standard deviation of a probability estimate provided by a Binary Logistic Regression model.,0,1,0,0
61,"If the random estimate is within the range centered on the estimate and spanning a standard deviation, we regard the estimate as ""too close"" to the random estimate, hence unreliable.",0,1,0,0
62,"On the contrary, estimates that are far enough from the random estimate are considered reliable.",0,1,0,0
63,This method was tested on 54 datasets from the PROMISE (now SEACRAFT) repository.,0,1,0,0
64,Results Our results show that the variance of estimates can be effectively used to detect the uncertainty region.,0,0,0,1
65,"Estimates in the uncertainty area are rarely statistically significant, and always much less accurate than estimates obtained out of the uncertainty area.",0,0,0,1
66,"Conclusions Practitioners and researchers can use our results to assess the reliability of estimates obtained via Binary Logistic Regression models, and reject (or challenge) those estimates that fall in the uncertainty region.",0,0,0,1
67,"Background: Blog posts offer potential benefits for research, but also present challenges.",1,0,0,0
68,The use of blog posts in SE research is contentious for some members of the community.,1,0,0,0
69,"Also, there are no guidelines for evaluating the credibility of blog posts.",1,0,0,0
70,"Objective: To empirically investigate SE researchers' opinions on the credibility of blog posts, and identify criteria for evaluating blog posts.",0,1,1,0
71,"Method: We conduct an online survey of software engineering researchers (n=43), to gather opinions on blog-post credibility and credibility criteria.",0,1,0,0
72,Results: There is diversity of opinion.,0,0,0,1
73,"The majority of researchers provide a qualified response to the credibility of blog posts: essentially, it depends.",0,0,0,1
74,"Several credibility criteria are valued by researchers, such as Reasoning, Clarity of writing, Reporting empirical data and Reporting methods of data collection.",0,0,0,1
75,Approximately 60% of respondents thought the criteria generalised to other practitioner-and researcher--generated content.,0,0,0,1
76,"Conclusion: The survey constitutes the first empirical benchmark of the credibility of blog posts in SE research, and presents an initial set of criteria for evaluating the credibility of blog posts.",0,0,0,1
77,The study would benefit from independent replication and evaluation.,0,0,0,1
78,Securing information systems has become a high priority as our reliance on them increases.,1,0,0,0
79,"Global multi-billion dollar companies have their critical information regularly exposed, costing them money and impairing their users' privacy.",1,0,0,0
80,"To defend against security breaches, IDE-integrated plugins to detect and remove security vulnerabilities in the first place are being used more frequently.",1,0,0,0
81,More information about these plugins is needed in order to improve the state of the art within the field.,1,0,0,0
82,Five open-source IDE plugins which can identify and report vulnerabilities are evaluated.,0,0,1,0
83,"We evaluate and compare how many categories of vulnerabilities the plugins can detect, how well the plugins detect the vulnerabilities, and how user-friendly the output of the plugin is to the developers.",0,0,1,0
84,"Our results show that certain vulnerabilities such as injection and broken access control are vastly covered by most plugins, while others have been completely ignored.",0,0,0,1
85,"A discrepancy between the claimed and actually confirmed coverage of the plugins is discovered, underlining the importance of this research.",0,0,0,1
86,High false positive rate and obvious limitations in usability show that more work is needed before these plugins can be widely used and relied upon in a corporate setting.,0,0,0,1
87,Models describe a software system on an abstraction level higher than its actual implementation.,1,0,0,0
88,Recent research results show that bringing models and a running system closer together by establishing traceability links between recorded runtime events and corresponding model elements improves the analysis performance of human observers when assessing the behaviour of the running system.,1,0,0,0
89,"Despite these results, common techniques for analyzing runtime events are rarely integrated into the models that are used for assessing the system behaviour from a high-level perspective.",1,0,0,0
90,This paper presents a controlled experiment where model-integrated analysis facilities are compared with a more traditional analysis approach based on SQL queries to a system's database in terms of correctness and completion time of analysis tasks.,0,1,1,0
91,"The results show that model-integrated analyses allow analysts to give more correct answers to questions about the system behaviour, but provide no improvement of the time spent for completing the analysis tasks.",0,0,0,1
92,Mutation testing is a means to assess the effectiveness of a test suite and its outcome is considered more meaningful than code coverage metrics.,1,0,0,0
93,"However, despite several optimizations, mutation testing requires a significant computational effort and has not been widely adopted in industry.",1,0,0,0
94,"Therefore, we study in this paper whether test effectiveness can be approximated using a more light-weight approach.",0,0,1,0
95,We hypothesize that a test case is more likely to detect faults in methods that are close to the test case on the call stack than in methods that the test case accesses indirectly through many other methods.,0,1,0,0
96,"Based on this hypothesis, we propose the minimal stack distance between test case and method as a new test measure, which expresses how close any test case comes to a given method, and study its correlation with test effectiveness.",0,1,0,0
97,"We conducted an empirical study with 21 open-source projects, which comprise in total 1.8 million LOC, and show that a correlation exists between stack distance and test effectiveness.",0,1,0,0
98,The correlation reaches a strength up to 0.58.,0,0,0,1
99,We further show that a classifier using the minimal stack distance along with additional easily computable measures can predict the mutation testing result of a method with 92.9% precision and 93.4% recall.,0,0,0,1
100,"Hence, such a classifier can be taken into consideration as a light-weight alternative to mutation testing or as a preceding, less costly step to that.",0,0,0,1
101,"Background Examples of questionable statistical practice, when published in high quality software engineering (SE) journals, may lead to novice researchers adopting incorrect statistical practices.",1,0,0,0
102,Objective Our goal is to highlight issues contributing to poor statistical practice in human-centric SE experiments.,0,0,1,0
103,Method We reviewed the statistical analysis practices used in the 13 papers that reported families of human-centric SE experiments and were published in high quality journals.,0,1,0,0
104,Results Reviewed papers related to 45 experiments and involved a total of 1303 human participants.,0,0,0,1
105,We searched for issues that were related to questionable statistical practice that were found in more than one paper.,0,1,0,0
106,"We observed three types of bad practice: incorrect use of terminology, incorrect analysis of repeated measures designs, and post-hoc power testing.",0,0,0,1
107,"We also found two analysis practices (i.e., multiple testing and pre-testing for normality) where statisticians disagree about good practice.",0,0,0,1
108,"Conclusions Identified issues pose a problem because readers may expect the statistical methods used in papers published in top quality, peer-reviewed journals to be correct.",0,0,0,1
109,We explain why the practices are problematic and provide recommendations for improved practice.,0,0,0,1
110,Test automation is important in the software industry but self-assessment instruments for assessing its maturity are not sufficient.,1,0,0,0
111,The two objectives of this study are to synthesize what an organization should focus to assess its test automation; develop a self-assessment instrument (a survey) for assessing test automation maturity and scientifically evaluate it.,0,0,1,0
112,We carried out the study in four stages.,0,1,0,0
113,"First, a literature review of 25 sources was conducted.",0,1,0,0
114,"Second, the initial instrument was developed.",0,1,0,0
115,"Third, seven experts from five companies evaluated the initial instrument.",0,1,0,0
116,Content Validity Index and Cognitive Interview methods were used.,0,1,0,0
117,"Fourth, we revised the developed instrument.",0,1,0,0
118,Our contributions are as follows: (a) we collected practices mapped into 15 key areas that indicate where an organization should focus to assess its test automation; (b) we developed and evaluated a self-assessment instrument for assessing test automation maturity; (c) we discuss important topics such as response bias that threatens self-assessment instruments.,0,0,1,1
119,Our results help companies and researchers to understand and improve test automation practices and processes.,0,0,0,1
120,"Context: Different approaches exist for automated GUI testing of Android applications, each with its peculiarities, advantages, and drawbacks.",1,0,0,0
121,The most common are either based on the structure of the GUI or use visual recognition.,1,0,0,0
122,"Goal: In this paper, we present an empirical evaluation of two different GUI testing techniques with the use for each of a representative tool: (1) Visual GUI testing, with the use of EyeAutomate, and (2) Layout-based GUI testing, with the use of Espresso.",0,0,1,0
123,Method: We conducted an experiment with a population of 78 graduate students.,0,1,0,0
124,"The participants of the study were asked to create the same test suite for a popular, open-source Android app (Omni-Notes) with both the tools, and to answer a survey about their preference to the one or the other, and the perceived difficulties when developing the test scripts.",0,1,0,0
125,"Results: By analyzing the outcomes of the delivered test suites (in terms of number of test scripts delivered and ratio of working ones) and the answers to the survey, we found that the participants showed similar productivity with both the tools, but the test suites developed with EyeAutomate were of higher quality (in terms of correctly working test scripts).",0,0,0,1
126,"The participants expressed a slight preference towards the EyeAutomate testing tool, reflecting a general complexity of Layout-based techniques -- represented by Espresso -- and some obstacles that may make the identification of components of the GUI quite a long and laborious task.",0,0,0,1
127,Conclusions: The evidence we collected can provide useful hints for researchers aiming at making GUI testing techniques for mobile applications more usable and effective.,0,0,0,1
128,"This research investigates the evolution of object-oriented inheritance hierarchies in open source, Java systems.",0,0,1,0
129,"The paper contributes an understanding of how hierarchies, particularly large complex hierarchies, evolve in 'real world' systems.",0,0,1,0
130,It informs object-oriented design practices that aim to control or avoid these complicated design structures.,0,0,1,0
131,The study is based on a detailed analysis of 665 inheritance hierarchies drawn from a total of 262 versions of 10 open source systems.,0,1,0,0
132,"The research contributions include that: i) the majority of inheritance hierarchies are 'simple' in structure and remain that way throughout their lifetimes ii) the majority of hierarchies are stable in terms of size and shape throughout their lifetimes iii) there is a minority of large, complex, branching 'Subtree' hierarchies that continue to grow ever more complicated as the systems evolve iv) a detailed analysis of some of these larger hierarchies finds evidence of 'good' object-oriented design practices being used but also highlights the significant challenges involved in understanding and refactoring these complex structures.",0,0,0,1
133,There is clear evidence that some of the complex hierarchies are emphasising reuse while others appear focused on type inheritance.,0,0,0,1
134,"Although managing architectural assumptions can benefit software development in several aspects (e.g., reducing architectural misunderstanding and mismatch), the effort required is a key obstacle towards employing architectural assumption management in practice.",1,0,0,0
135,One potential solution is to apply agile practices in order to reduce this effort.,1,0,0,0
136,"To this end, we conducted a survey with 91 practitioners to investigate the possibility of integrating agile practices into architectural assumption management in industrial practice.",0,1,1,0
137,The results offer an overview of which agile practices can be integrated in architectural assumption management and how.,0,0,0,1
138,"Six agile practices were selected by more than half of the subjects: ""Backlog"", ""Iterative and Incremental Development"", ""Refactoring"", ""Continuous Integration"", ""Effective Communication"", and ""Just Enough Work"".",0,0,0,1
139,Twelve agile practices were further elaborated by the subjects regarding how they can be used in architectural assumption management.,0,0,0,1
140,"Based on the survey results, we developed a classification of agile practices for agile architectural assumption management, which can act as a reference for researchers and practitioners to employ certain agile practices in architectural assumption management.",0,0,0,1
141,Early identification of software modules that are likely to be faulty helps practitioners take timely actions to improve these modules' quality and reduce development costs in the remainder of the development process.,1,0,0,0
142,"To this end, module faultiness estimation models can be built at any point during development by using measures collected up to that time.",1,0,0,0
143,Models available in later phases are expected to be more accurate than those available in earlier phases.,1,0,0,0
144,"However, waiting until late in the development process may reduce the impact of the effectiveness and efficacy of any software quality improvement actions and increase their cost.",1,0,0,0
145,Our goal is to investigate to what extent using software code measures along with software design measures helps improve the accuracy of module faultiness estimation with respect to using software design measures alone.,0,0,1,0
146,"We built faultiness estimation models---by using Binary Logistic Regression, Naive Bayes, Support Vector Machines, and Decision Trees---for 54 datasets from the PROMISE repository.",0,1,0,0
147,These datasets contain design and code measures and faultiness data of software modules of real-life projects.,0,1,0,0
148,We compared the models built by using the code measures and design measures together against the models built by using design measures alone via a few accuracy indicators.,0,1,0,0
149,The results indicate that the models built by using code measures and design measures together are only slightly more accurate than the models built by using design measures alone.,0,0,0,1
150,Our analysis shows that measures that can be obtained during design can provide models that are almost as accurate as models that can be achieved in later development phases.,0,0,0,1
151,"This is good news for practitioners, who can start early ---hence cheaper and more effective---quality improvement initiatives based on fairly reliable models.",0,0,0,1
152,"In software engineering practice, evaluating and selecting the software testing tools that best fit the project at hand is an important and challenging task.",1,0,0,0
153,"In scientific studies of software engineering, practitioner evaluations and beliefs have recently gained interest, and some studies suggest that practitioners find beliefs of peers more credible than empirical evidence.",1,0,0,0
154,"To study how software practitioners evaluate testing tools, we applied online opinion surveys (n=89).",0,1,1,0
155,"We analyzed the reliability of the opinions utilizing Krippendorff's alpha, intra-class correlation coefficient (ICC), and coefficients of variation (CV).",0,1,0,0
156,Negative binomial regression was used to evaluate the effect of demographics.,0,1,0,0
157,We find that opinions towards a specific tool can be conflicting.,0,0,0,1
158,We show how increasing the number of respondents improves the reliability of the estimates measured with ICC.,0,0,0,1
159,"Our results indicate that on average, opinions from seven experts provide a moderate level of reliability.",0,0,0,1
160,"From demographics, we find that technical seniority leads to more negative evaluations.",0,0,0,1
161,"To improve the understanding, robustness, and impact of the findings, we need to conduct further studies by utilizing diverse sources and complementary methods.",0,0,0,1
162,Context: Stack Overflow is a popular community question and answer portal used by practitioners to solve problems during software development.,1,0,0,0
163,Developers can focus their attention on answers that have been accepted or where members have recorded high votes in judging good answers when searching for help.,1,0,0,0
164,"However, the latter mechanism (votes) can be unreliable, and there is currently no way to differentiate between an answer that is likely to be accepted and those that will not be accepted by looking at the answer's characteristics.",1,0,0,0
165,"Objective: In potentially providing a mechanism to identify acceptable answers, this study examines the features that distinguish an accepted answer from an unaccepted answer.",0,0,1,0
166,Methods: We studied the Stack Overflow dataset by analyzing questions and answers for the two most popular tags (Java and JavaScript).,0,1,0,0
167,"Our dataset comprised 249,588 posts drawn from 2014-2016.",0,1,0,0
168,"We use random forest and neural network models to predict accepted answers, and study the features with the highest predictive power in those two models.",0,1,0,0
169,"Results: Our findings reveal that the length of code in answers, reputation of users, similarity of the text between questions and answers, and the time lag between questions and answers have the highest predictive power for differentiating accepted and unaccepted answers.",0,0,0,1
170,Conclusion: Tools may leverage these findings in supporting developers and reducing the effort they must dedicate to searching for suitable answers on Stack Overflow.,0,0,0,1
171,Systematic Literature Reviews (SLRs) are increasingly popular to categorize and identify research gaps.,1,0,0,0
172,Current Qualitative Data Analysis Software (QDAS) lack of a common format.,1,0,0,0
173,"Yet, the result of a recent survey indicates that 71,4% of participants (expert SLR reviewers) are ready to share SLR artifacts in a common repository.",1,0,0,0
174,"On the road towards open coding-data repositories, this work looks into W3C's Open Annotation as the way to RDFized those coding data.",0,0,1,0
175,This paper rephrases coding practices as annotation practices where data is captured as W3C's Open Annotations.,0,0,0,1
176,"Deployability is proven by describing two clients on top of this repository: (1) a write client that populates the repository through a color-coding highlighter, and (2), a read client that obtains a traditional SLR spreadsheets by querying so-populated repositories.",0,1,0,0
177,"Context: Technical Debt (TD) quantification has been studied in the literature and is supported by various tools; however, there is no common ground on what information shall be presented to stakeholders.",1,0,0,0
178,"Similarly to other quality monitoring processes, it is desirable to provide several views of quality through a dashboard, in which metrics concerning the phenomenon of interest are displayed.",1,0,0,0
179,"Objective: The aim of this study is to investigate the indicators that shall be presented in such a dashboard, so as to: (a) be meaningful for industrial stakeholders, (b) present all necessary information, and (c) be simple enough so that stakeholders can use them.",0,0,1,0
180,"Method: We explore TD Management (TDM) activities (i.e., measurement, prioritization, repayment) and choose the main concepts that need to be visualized, based on existing literature and toolsupport.",0,1,0,0
181,"Results / Conclusions: The results of the study suggest that different stakeholders need a different view of the quality dashboard, but also some commonalities can be identified.",0,0,0,1
182,"For example, on the one hand, managers are mostly interested in financial concepts, whereas on the other hand developers are more interested in the nature of the problems that exist in the code.",0,0,0,1
183,"The outcomes of this study can be useful to both researchers and practitioners, in the sense that the former can focus their efforts on aspects that are meaningful to industry, whereas the latter to develop meaningful dashboards, with multiple views.",0,0,0,1
184,Developers have access to tools like Google Lighthouse to assess the performance of web apps and to guide the adoption of development best practices.,1,0,0,0
185,"However, when it comes to energy consumption of mobile web apps, these tools seem to be lacking.",1,0,0,0
186,This study investigates on the correlation between the performance scores produced by Lighthouse and the energy consumption of mobile web apps.,0,0,1,0
187,We design and conduct an empirical experiment where 21 real mobile web apps are (i) analyzed via the Lighthouse performance analysis tool and (ii) measured on an Android device running a software-based energy profiler.,0,1,0,0
188,"Then, we statistically assess how energy consumption correlates with the obtained performance scores and carry out an effect size estimation.",0,1,0,0
189,"We discover a statistically significant negative correlation between performance scores and the energy consumption of mobile web apps (with medium to large effect sizes), implying that an increase of the performance score tend to lead to a decrease of energy consumption.",0,0,0,1
190,"We recommend developers to strive to improve the performance level of their mobile web apps, as this can also have a positive impact on their energy consumption on Android devices.",0,0,0,1
191,Factors such as app stores or platform choices heavily affect functional and non-functional mobile app requirements.,1,0,0,0
192,We surveyed 45 companies and interviewed ten experts to explore how factors that impact mobile app requirements are understood by requirements engineers in the mobile app industry.,0,1,0,0
193,We observed the lack of knowledge in several areas.,0,0,0,1
194,"For instance, we observed that all practitioners were aware of data privacy concerns, however, they did not know that certain third-party libraries, usage aggregators, or advertising libraries also occasionally leak sensitive user data.",0,0,0,1
195,"Similarly, certain functional requirements may not be implementable in the absence of a third-party library that is either banned from an app store for policy violations or lacks features, for instance, missing desired features in ARKit library for iOS made practitioners turn to Android.",0,0,0,1
196,"We conclude that requirements engineers should have adequate technical experience with mobile app development as well as sufficient knowledge in areas such as privacy, security and law, in order to make informed decisions during requirements elicitation.",0,0,0,1
197,The software engineering industry is increasingly aware of the role and value of neurodiverse engineers within the workforce.,1,0,0,0
198,One motivation is the alignment between skills needed for software development and the processing strengths of individuals with autistic spectrum conditions.,1,0,0,0
199,"One aspect of neurodiversity is dyslexia, typically presenting in individuals through a range of reading deficiencies.",1,0,0,0
200,In this paper we build on recent work which has sought to investigate if programmers with dyslexia read program code in a way which is different from programmers without dyslexia.,0,0,1,0
201,The particular focus of this analysis is the nature of saccadic movement and patterns of linearity when reading code.,0,0,1,0
202,A study is presented in which the eye gaze of 28 programmers (14 with dyslexia and 14 without) was recorded using an eye tracking device while reading and understanding three on-screen Java programs.,0,1,0,0
203,"Using insights from the wider dyslexia literature, hypotheses are formulated to reflect the expected saccadic gaze behaviour of programmers with dyslexia.",0,1,0,0
204,A range of existing metrics for linearity of program reading are adapted and used for statistical analysis of the data.,0,1,0,0
205,Results are consistent with recent work elsewhere and indicate that programmers with dyslexia do not exhibit patterns of linearity significantly different from the control group.,0,0,0,1
206,Non-linear gaze is shown to be approximately 40% of all saccadic movement.,0,0,0,1
207,"Some preliminary insights are offered based on the data available, suggesting that the extent of non-linear reading when comprehending program code might complement the processing and problem solving style of the programmer with dyslexia.",0,0,0,1
208,"In Software Product Lines (SPL), feature extraction from software requirements specifications has been subject to intense research in order to assist domain analysis in a time-saving way.",1,0,0,0
209,"Although various approaches are proposed to extract features, there still exists a gap to achieve the complete view of features, that is, how to figure out the intention of a feature.",1,0,0,0
210,Feature terms as the smallest units in a feature can be regarded as vital indicators for describing a feature.,1,0,0,0
211,"Automated feature term extraction can provide key information regarding the intention of a feature, which improves the efficiency of domain analysis.",1,0,0,0
212,"In this paper, we propose an approach to train prediction models by using machine learning techniques to identify feature terms.",0,0,1,0
213,"To this end, we extract candidate terms from requirement specifications in one domain and take six attributes of each term into account to create a labeled dataset.",0,1,0,0
214,"Subsequently, we apply seven commonly used machine algorithms to train prediction models on the labeled dataset.",0,1,0,0
215,We then use these prediction models to predict feature terms from the requirements belonging to the other two different domains.,0,1,0,0
216,"Our results show that (1) feature terms can be predicted with high accuracy of ≈ 90% within a domain (2) prediction across domains leads to a decreased but still good accuracy (≈ 80%), and (3) machine learning algorithms perform differently.",0,0,0,1
217,GitHub has become a precious service for storing and managing software source code.,1,0,0,0
218,"Over the last year, 10M new developers have joined the GitHub community, contributing to more than 44M repositories.",1,0,0,0
219,"In order to help developers increase the reachability of their repositories, in 2017 GitHub introduced the possibility to classify them by means of topics.",1,0,0,0
220,"However, assigning wrong topics to a given repository can compromise the possibility of helping other developers approach it, and thus preventing them from contributing to its development.",1,0,0,0
221,In this paper we investigate the application of Multinomial Naïve Bayesian (MNB) networks to automatically classify GitHub repositories.,0,0,1,0
222,"By analyzing the README file(s) of the repository to be classified and the source code implementing it, the conceived approach is able to recommend GitHub topics.",0,1,0,0
223,"To the best of our knowledge, this is the first supervised approach addressing the considered problem.",0,0,0,1
224,"Consequently, since there exists no suitable baseline for the comparison, we validated the approach by considering different metrics, aiming to study various quality aspects.",0,0,0,1
225,Background: Publication bias is the failure to publish the results of a study based on the direction or strength of the study findings.,1,0,0,0
226,The existence of publication bias is firmly established in areas like medical research.,1,0,0,0
227,Recent research suggests the existence of publication bias in Software Engineering.,1,0,0,0
228,Aims: Finding out whether experiments published in the International Workshop on Empirical Software Engineering and Measurement (ESEM) are affected by publication bias.,0,0,1,0
229,Method: We review experiments published in ESEM.,0,1,0,0
230,We also survey with experimental researchers to triangulate our findings.,0,1,0,0
231,Results: ESEM experiments do not define hypotheses and frequently perform multiple testing.,0,0,0,1
232,One-tailed tests have a slightly higher rate of achieving statistically significant results.,0,0,0,1
233,We could not find other practices associated with publication bias.,0,0,0,1
234,"Conclusions: Our results provide a more encouraging perspective of SE research than previous research: (1) ESEM publications do not seem to be strongly affected by biases and (2) we identify some practices that could be associated with p-hacking, but it is more likely that they are related to the conduction of exploratory research.",0,0,0,1
235,Context: There is considerable diversity in the range and design of computational experiments to assess classifiers for software defect prediction.,1,0,0,0
236,"This is particularly so, regarding the choice of classifier performance metrics.",1,0,0,0
237,"Unfortunately some widely used metrics are known to be biased, in particular F1.",1,0,0,0
238,Objective: We want to understand the extent to which the widespread use of the F1 renders empirical results in software defect prediction unreliable.,0,0,1,0
239,Method: We searched for defect prediction studies that report both F1 and the Matthews correlation coefficient (MCC).,0,1,0,0
240,This enabled us to determine the proportion of results that are consistent between both metrics and the proportion that change.,0,1,0,0
241,Results: Our systematic review identifies 8 studies comprising 4017 pairwise results.,0,0,0,1
242,"Of these results, the direction of the comparison changes in 23% of the cases when the unbiased MCC metric is employed.",0,0,0,1
243,"Conclusion: We find compelling reasons why the choice of classification performance metric matters, specifically the biased and misleading F1 metric should be deprecated.",0,0,0,1
244,"Context: Design pattern detection is a very important research on software reuse, which can greatly help software maintenance and reconstruction.",1,0,0,0
245,"At present, many researchers have invested in this work and proposed a variety of methods for detection.",1,0,0,0
246,Method: This paper extends the graph matching technology based on the past and proposes a new method that combines network analysis and structural matching for detection.,0,1,0,0
247,"First, we use network level analysis to obtain important nodes, then use the neighborhood path matching algorithm to match the pattern instance.",0,1,0,0
248,"Result: We describe the detection of five patterns on four open source systems, then analyze and compare with the other three methods, for achieving high precision and recall, which demonstrates that our method is effective.",0,0,0,1
